file,frequency,language,competence,source,target
EN_1_237.head.txt,0,EN,learner,0,22.2222222222
EN_1_24.head.txt,15.625,EN,learner,15.625,9.6774193548
EN_1_240.head.txt,6.6666666667,EN,learner,6.6666666667,10
EN_1_242.head.txt,5.8823529412,EN,learner,5.8823529412,0
EN_1_243.head.txt,13.1428571429,EN,learner,13.1428571429,15.0837988827
EN_1_244.head.txt,0,EN,learner,0,0
EN_1_245.head.txt,26.3157894737,EN,learner,26.3157894737,20
EN_1_246.head.txt,6.6666666667,EN,learner,6.6666666667,13.3333333333
EN_1_247.head.txt,9.8039215686,EN,learner,9.8039215686,19.5652173913
EN_1_248.head.txt,25.9259259259,EN,learner,25.9259259259,8
EN_1_25.head.txt,2.3255813953,EN,learner,2.3255813953,2.1276595745
EN_1_26.head.txt,20,EN,learner,20,26.6666666667
EN_1_260.head.txt,10,EN,learner,10,7.1428571429
EN_1_262.head.txt,0,EN,learner,0,15
EN_1_263.head.txt,40,EN,learner,40,45.4545454545
EN_1_264.head.txt,0,EN,learner,0,10.5263157895
EN_1_265.head.txt,11.5384615385,EN,learner,11.5384615385,29.1666666667
EN_1_266.head.txt,0,EN,learner,0,33.3333333333
EN_1_270.head.txt,5.2631578947,EN,learner,5.2631578947,5
EN_1_273.head.txt,1.6393442623,EN,learner,1.6393442623,37.037037037
EN_1_274.head.txt,11.7647058824,EN,learner,11.7647058824,22.2222222222
EN_1_28.head.txt,0,EN,learner,0,0
EN_1_283.head.txt,6.8181818182,EN,learner,6.8181818182,9.756097561
EN_1_286.head.txt,22.5,EN,learner,22.5,25.5813953488
EN_1_288.head.txt,8.5106382979,EN,learner,8.5106382979,8.1632653061
EN_1_289.head.txt,13.6363636364,EN,learner,13.6363636364,4.5454545455
EN_1_29.head.txt,6.6666666667,EN,learner,6.6666666667,13.3333333333
EN_1_290.head.txt,23.3333333333,EN,learner,23.3333333333,25
EN_1_292.head.txt,0,EN,learner,0,18.75
EN_1_293.head.txt,10,EN,learner,10,4.5454545455
EN_1_294.head.txt,5.1282051282,EN,learner,5.1282051282,5
EN_1_295.head.txt,3.9215686275,EN,learner,3.9215686275,8.1632653061
EN_1_296.head.txt,15.3846153846,EN,learner,15.3846153846,20
EN_1_297.head.txt,17.6470588235,EN,learner,17.6470588235,5
EN_1_298.head.txt,7.3170731707,EN,learner,7.3170731707,16.2162162162
EN_1_299.head.txt,11.7647058824,EN,learner,11.7647058824,12.5
EN_1_3.head.txt,0,EN,learner,0,9.756097561
EN_1_300.head.txt,0,EN,learner,0,15.3846153846
EN_1_302.head.txt,11.1111111111,EN,learner,11.1111111111,0
EN_1_303.head.txt,13.6363636364,EN,learner,13.6363636364,13.6363636364
EN_1_304.head.txt,14.2857142857,EN,learner,14.2857142857,19.0476190476
EN_1_305.head.txt,14.8148148148,EN,learner,14.8148148148,14.8148148148
EN_1_306.head.txt,23.0769230769,EN,learner,23.0769230769,20
EN_1_307.head.txt,0,EN,learner,0,15.7894736842
EN_1_309.head.txt,25,EN,learner,25,26.6666666667
EN_1_312.head.txt,9.8039215686,EN,learner,9.8039215686,5.5555555556
EN_1_313.head.txt,15.7894736842,EN,learner,15.7894736842,19.0476190476
EN_1_314.head.txt,8.8235294118,EN,learner,8.8235294118,14.7058823529
EN_1_315.head.txt,2.6315789474,EN,learner,2.6315789474,17.0731707317
EN_1_316.head.txt,0,EN,learner,0,0
EN_1_317.head.txt,4.7619047619,EN,learner,4.7619047619,0
EN_1_36.head.txt,0,EN,learner,0,0
EN_1_4.head.txt,4.7619047619,EN,learner,4.7619047619,13.6363636364
EN_1_40.head.txt,15.7894736842,EN,learner,15.7894736842,22.2222222222
EN_1_42.head.txt,0,EN,learner,0,7.6923076923
EN_1_43.head.txt,0,EN,learner,0,17.6470588235
EN_1_44.head.txt,22.7272727273,EN,learner,22.7272727273,38.0952380952
EN_1_45.head.txt,17.3913043478,EN,learner,17.3913043478,36.8421052632
EN_1_46.head.txt,5.8823529412,EN,learner,5.8823529412,5.9701492537
EN_1_47.head.txt,7.6923076923,EN,learner,7.6923076923,15.3846153846
EN_1_48.head.txt,0,EN,learner,0,0
EN_1_49.head.txt,14.0625,EN,learner,14.0625,14.9253731343
EN_1_5.head.txt,10.4166666667,EN,learner,10.4166666667,15.2173913043
EN_1_50.head.txt,15.1515151515,EN,learner,15.1515151515,15.625
EN_1_52.head.txt,10.5263157895,EN,learner,10.5263157895,10.5263157895
EN_1_53.head.txt,14.2857142857,EN,learner,14.2857142857,35.7142857143
EN_1_54.head.txt,35,EN,learner,35,35
EN_1_55.head.txt,37.5,EN,learner,37.5,25
EN_1_56.head.txt,16.6666666667,EN,learner,16.6666666667,27.7777777778
