file,competence,source,target
EN_1_100.head.txt,learner,4.7619047619,3.8461538462
EN_1_102.head.txt,learner,14.2857142857,14.2857142857
EN_1_106.head.txt,learner,0,0
EN_1_114.head.txt,learner,11.7647058824,0
EN_1_116.head.txt,learner,8.3333333333,0
EN_1_120.head.txt,learner,5.2631578947,0
EN_1_122.head.txt,learner,25,0
EN_1_123.head.txt,learner,0,0
EN_1_124.head.txt,learner,6.25,5.2631578947
EN_1_126.head.txt,learner,7.1428571429,23.0769230769
EN_1_127.head.txt,learner,20,9.0909090909
EN_1_128.head.txt,learner,0,0
EN_1_129.head.txt,learner,5.2631578947,5.2631578947
EN_1_130.head.txt,learner,0,3.8461538462
EN_1_132.head.txt,learner,4.347826087,0
EN_1_133.head.txt,learner,0,0
EN_1_134.head.txt,learner,0,0
EN_1_136.head.txt,learner,3.4482758621,3.4482758621
EN_1_137.head.txt,learner,0.8771929825,0.350877193
EN_1_139.head.txt,learner,2.5906735751,2.4509803922
EN_1_143.head.txt,learner,8.3333333333,0
EN_1_144.head.txt,learner,0,12.5
EN_1_145.head.txt,learner,0,0
EN_1_146.head.txt,learner,6.25,11.7647058824
EN_1_147.head.txt,learner,1.9498607242,4.8387096774
EN_1_148.head.txt,learner,0,0
EN_1_149.head.txt,learner,0,0
EN_1_169.head.txt,learner,5,11.7647058824
EN_1_170.head.txt,learner,0,10.3448275862
EN_1_172.head.txt,learner,0,5.2631578947
EN_1_174.head.txt,learner,7.5,7.8947368421
EN_1_175.head.txt,learner,6.4516129032,15.625
EN_1_176.head.txt,learner,6.3829787234,0
EN_1_178.head.txt,learner,7.6923076923,2.3255813953
EN_1_179.head.txt,learner,1.6949152542,1.6393442623
EN_1_180.head.txt,learner,7.5757575758,4.6153846154
EN_1_182.head.txt,learner,11.7647058824,4.1666666667
EN_1_184.head.txt,learner,16,0
EN_1_185.head.txt,learner,23.0769230769,9.0909090909
EN_1_19.head.txt,learner,3.8461538462,0
EN_1_193.head.txt,learner,0,0
EN_1_194.head.txt,learner,0,0
EN_1_196.head.txt,learner,2.8571428571,0
EN_1_2.head.txt,learner,7.6923076923,5.1282051282
EN_1_200.head.txt,learner,0,0
EN_1_203.head.txt,learner,7.6923076923,24
EN_1_204.head.txt,learner,9.5238095238,5
EN_1_205.head.txt,learner,4.5454545455,0
EN_1_206.head.txt,learner,13.0434782609,0
EN_1_207.head.txt,learner,0,3.5714285714
EN_1_208.head.txt,learner,0,0
EN_1_209.head.txt,learner,4.347826087,5.2631578947
EN_1_210.head.txt,learner,4,4.1666666667
EN_1_212.head.txt,learner,0,12.5
EN_1_22.head.txt,learner,7.3170731707,5.2631578947
EN_1_228.head.txt,learner,0,0
EN_1_23.head.txt,learner,14.8936170213,12.5
EN_1_233.head.txt,learner,0,6.25
EN_1_235.head.txt,learner,11.7647058824,10
EN_1_237.head.txt,learner,0,16.6666666667
EN_1_24.head.txt,learner,15.625,3.2258064516
EN_1_240.head.txt,learner,26.6666666667,5
EN_1_242.head.txt,learner,0,0
EN_1_243.head.txt,learner,7.4285714286,3.3519553073
EN_1_244.head.txt,learner,0,4.347826087
EN_1_245.head.txt,learner,10.5263157895,15
EN_1_246.head.txt,learner,33.3333333333,6.6666666667
EN_1_247.head.txt,learner,0,8.6956521739
EN_1_248.head.txt,learner,22.2222222222,28
EN_1_25.head.txt,learner,4.6511627907,8.5106382979
EN_1_26.head.txt,learner,13.3333333333,13.3333333333
EN_1_260.head.txt,learner,3.3333333333,0
EN_1_262.head.txt,learner,5.8823529412,0
EN_1_263.head.txt,learner,10,0
EN_1_264.head.txt,learner,10.5263157895,5.2631578947
EN_1_265.head.txt,learner,7.6923076923,4.1666666667
EN_1_266.head.txt,learner,6.6666666667,6.6666666667
EN_1_270.head.txt,learner,0,0
EN_1_273.head.txt,learner,8.1967213115,3.7037037037
EN_1_274.head.txt,learner,0,0
EN_1_28.head.txt,learner,15.3846153846,7.1428571429
EN_1_283.head.txt,learner,2.2727272727,0
EN_1_286.head.txt,learner,0,0
EN_1_288.head.txt,learner,0,0
EN_1_289.head.txt,learner,13.6363636364,13.6363636364
EN_1_29.head.txt,learner,0,0
EN_1_290.head.txt,learner,3.3333333333,0
EN_1_292.head.txt,learner,0,0
EN_1_293.head.txt,learner,0,4.5454545455
EN_1_294.head.txt,learner,12.8205128205,7.5
