file,frequency,language,competence,source,target
EN_1_243.head.txt,7.4285714286,EN,learner,7.4285714286,3.3519553073
EN_1_244.head.txt,0,EN,learner,0,4.347826087
EN_1_245.head.txt,10.5263157895,EN,learner,10.5263157895,15
EN_1_246.head.txt,33.3333333333,EN,learner,33.3333333333,6.6666666667
EN_1_247.head.txt,0,EN,learner,0,8.6956521739
EN_1_248.head.txt,22.2222222222,EN,learner,22.2222222222,28
EN_1_25.head.txt,4.6511627907,EN,learner,4.6511627907,8.5106382979
EN_1_26.head.txt,13.3333333333,EN,learner,13.3333333333,13.3333333333
EN_1_260.head.txt,3.3333333333,EN,learner,3.3333333333,0
EN_1_262.head.txt,5.8823529412,EN,learner,5.8823529412,0
EN_1_263.head.txt,10,EN,learner,10,0
EN_1_264.head.txt,10.5263157895,EN,learner,10.5263157895,5.2631578947
EN_1_265.head.txt,7.6923076923,EN,learner,7.6923076923,4.1666666667
EN_1_266.head.txt,6.6666666667,EN,learner,6.6666666667,6.6666666667
EN_1_270.head.txt,0,EN,learner,0,0
EN_1_273.head.txt,8.1967213115,EN,learner,8.1967213115,3.7037037037
EN_1_274.head.txt,0,EN,learner,0,0
EN_1_28.head.txt,15.3846153846,EN,learner,15.3846153846,7.1428571429
EN_1_283.head.txt,2.2727272727,EN,learner,2.2727272727,0
EN_1_286.head.txt,0,EN,learner,0,0
EN_1_288.head.txt,0,EN,learner,0,0
EN_1_289.head.txt,13.6363636364,EN,learner,13.6363636364,13.6363636364
EN_1_29.head.txt,0,EN,learner,0,0
EN_1_290.head.txt,3.3333333333,EN,learner,3.3333333333,0
EN_1_292.head.txt,0,EN,learner,0,0
EN_1_293.head.txt,0,EN,learner,0,4.5454545455
EN_1_294.head.txt,12.8205128205,EN,learner,12.8205128205,7.5
EN_1_295.head.txt,3.9215686275,EN,learner,3.9215686275,0
EN_1_296.head.txt,0,EN,learner,0,0
EN_1_297.head.txt,11.7647058824,EN,learner,11.7647058824,5
EN_1_298.head.txt,7.3170731707,EN,learner,7.3170731707,0
EN_1_299.head.txt,0,EN,learner,0,6.25
EN_1_3.head.txt,2.5,EN,learner,2.5,2.4390243902
EN_1_300.head.txt,0,EN,learner,0,0
EN_1_302.head.txt,5.5555555556,EN,learner,5.5555555556,17.6470588235
EN_1_303.head.txt,0,EN,learner,0,0
EN_1_304.head.txt,9.5238095238,EN,learner,9.5238095238,0
EN_1_305.head.txt,0,EN,learner,0,0
EN_1_306.head.txt,7.6923076923,EN,learner,7.6923076923,0
EN_1_307.head.txt,0,EN,learner,0,0
EN_1_309.head.txt,16.6666666667,EN,learner,16.6666666667,0
EN_1_312.head.txt,1.9607843137,EN,learner,1.9607843137,5.5555555556
EN_1_313.head.txt,0,EN,learner,0,0
EN_1_314.head.txt,2.9411764706,EN,learner,2.9411764706,0
EN_1_315.head.txt,2.6315789474,EN,learner,2.6315789474,2.4390243902
EN_1_316.head.txt,11.5384615385,EN,learner,11.5384615385,0
EN_1_317.head.txt,4.7619047619,EN,learner,4.7619047619,0
EN_1_36.head.txt,9.0909090909,EN,learner,9.0909090909,7.1428571429
EN_1_4.head.txt,19.0476190476,EN,learner,19.0476190476,9.0909090909
EN_1_40.head.txt,10.5263157895,EN,learner,10.5263157895,0
EN_1_42.head.txt,0,EN,learner,0,0
EN_1_43.head.txt,0,EN,learner,0,0
EN_1_44.head.txt,9.0909090909,EN,learner,9.0909090909,9.5238095238
EN_1_45.head.txt,0,EN,learner,0,0
EN_1_46.head.txt,1.4705882353,EN,learner,1.4705882353,2.9850746269
EN_1_47.head.txt,0,EN,learner,0,0
EN_1_48.head.txt,4.347826087,EN,learner,4.347826087,0
EN_1_49.head.txt,1.5625,EN,learner,1.5625,1.4925373134
EN_1_5.head.txt,4.1666666667,EN,learner,4.1666666667,2.1739130435
EN_1_50.head.txt,3.0303030303,EN,learner,3.0303030303,6.25
EN_1_52.head.txt,5.2631578947,EN,learner,5.2631578947,10.5263157895
EN_1_53.head.txt,0,EN,learner,0,0
EN_1_54.head.txt,0,EN,learner,0,0
EN_1_55.head.txt,0,EN,learner,0,0
EN_1_56.head.txt,0,EN,learner,0,0
EN_1_57.head.txt,0,EN,learner,0,0
EN_1_58.head.txt,6.976744186,EN,learner,6.976744186,4.6511627907
EN_1_59.head.txt,0,EN,learner,0,0
EN_1_6.head.txt,11.7647058824,EN,learner,11.7647058824,10.3448275862
EN_1_60.head.txt,10,EN,learner,10,0
EN_1_65.head.txt,0,EN,learner,0,0
EN_1_66.head.txt,6.2193126023,EN,learner,6.2193126023,5.9221658206
EN_1_67.head.txt,2.0979020979,EN,learner,2.0979020979,3.4722222222
EN_1_68.head.txt,2.0202020202,EN,learner,2.0202020202,2.0202020202
EN_1_69.head.txt,0,EN,learner,0,0
EN_1_7.head.txt,8.3333333333,EN,learner,8.3333333333,20
EN_1_75.head.txt,0,EN,learner,0,0
EN_1_76.head.txt,15,EN,learner,15,0
EN_1_79.head.txt,0,EN,learner,0,5.8823529412
EN_1_8.head.txt,6.6666666667,EN,learner,6.6666666667,0
EN_1_80.head.txt,13.3333333333,EN,learner,13.3333333333,0
EN_1_82.head.txt,16.6666666667,EN,learner,16.6666666667,7.6923076923
