file,mode,source,target,reference
en_5_ted,spoken,4.6728971963,9.8765432099,23.0088495575
en_46_ted,spoken,14.2857142857,2.2900763359,14.1592920354
en_18_ted,spoken,19.5652173913,8.1967213115,35.3982300885
en_12_ted,spoken,11.9658119658,1.7857142857,15.9292035398
en_71_ted,spoken,4.6666666667,10.9677419355,7.9646017699
en_14_ted,spoken,14.4385026738,20.6349206349,26.5486725664
en_95_ted,spoken,9.3525179856,10.4972375691,36.2831858407
en_27_ted,spoken,13.0136986301,10.9826589595,41.592920354
en_49_ted,spoken,5.4545454545,9.649122807,34.5132743363
en_3_ted,spoken,21.1009174312,2.9069767442,29.203539823
en_34_ted,spoken,10.5263157895,4.5045045045,15.0442477876
en_75_ted,spoken,17.8082191781,10.7296137339,15.0442477876
en_87_ted,spoken,9.2307692308,7.486631016,6.1946902655
en_78_ted,spoken,11.3043478261,8.3832335329,30.9734513274
en_64_ted,spoken,19.4915254237,10.9489051095,30.0884955752
en_1_ted,spoken,16.4383561644,10.2564102564,29.203539823
en_66_ted,spoken,12.0689655172,16.5217391304,23.8938053097
en_55_ted,spoken,5.1181102362,5,36.2831858407
en_11_ted,spoken,7.6023391813,7.9646017699,27.4336283186
en_88_ted,spoken,15.873015873,8.875739645,21.2389380531
en_30_ted,spoken,8.0357142857,5.035971223,11.5044247788
en_2_ted,spoken,7.8651685393,10.843373494,26.5486725664
en_16_ted,spoken,8.1081081081,11.7647058824,31.8584070796
en_93_ted,spoken,15.9722222222,7.0063694268,35.3982300885
en_20_ted,spoken,13.1736526946,11.1111111111,30.0884955752
en_94_ted,spoken,6.5789473684,7.7464788732,40.7079646018
en_83_ted,spoken,4.4247787611,3.4482758621,16.814159292
en_89_ted,spoken,14.8148148148,14.1975308642,18.5840707965
en_41_ted,spoken,11.8918918919,11.0429447853,5.3097345133
en_76_ted,spoken,9.7744360902,7.5268817204,14.1592920354
en_59_ted,spoken,11.6666666667,3.8461538462,30.0884955752
en_38_ted,spoken,9.4420600858,19.8795180723,31.8584070796
en_6_ted,spoken,8.3832335329,8.6666666667,22.1238938053
en_60_ted,spoken,7.3394495413,3.0150753769,27.4336283186
en_17_ted,spoken,8.0357142857,5.737704918,19.4690265487
en_68_ted,spoken,3.4013605442,12.380952381,28.3185840708
en_13_ted,spoken,5.6603773585,16.3120567376,15.9292035398
en_56_ted,spoken,4.4052863436,19.7424892704,17.6991150442
en_31_ted,spoken,2.8368794326,12.3287671233,24.7787610619
en_22_ted,spoken,11.4503816794,6.25,32.7433628319
