file,mode,source,target,reference
en_8ps1_106,written,5.0505050505,3.6184210526,12.0320855615
en_8ps2_107,written,3.7037037037,3.2142857143,4.75
en_8ps3_108,written,8.2191780822,6.6666666667,3.4
en_8ps4_109,written,6.7669172932,6.7857142857,10.1176470588
en_8ps5_110,written,10.1123595506,4.3956043956,12.7058823529
en_8ps6_111,written,5.5555555556,6.1433447099,
en_8ps7_112,written,3.9473684211,5.4054054054,
en_9ps1_113,written,5,2.6,
en_9ps10_122,written,6.9620253165,5.8282208589,
en_9ps2_114,written,8.0843585237,4.4117647059,
en_9ps3_115,written,5.3424657534,4.6808510638,
en_9ps4_116,written,4.8622366288,4.0636042403,
en_9ps5_117,written,2.1592442645,2.2988505747,
en_9ps6_118,written,3.8142620232,2.6132404181,
en_9ps7_119,written,3.5643564356,3.3880903491,
en_9ps8_120,written,2.75,1.1421319797,
en_9ps9_121,written,8.859223301,5.1150895141,
en_1_ted,spoken,10.502283105,9.3333333333,3.5398230088
en_10_ted,spoken,2.9850746269,0.7575757576,7.0796460177
en_100_ted,spoken,4.4247787611,4.1666666667,7.9646017699
en_11_ted,spoken,14.0350877193,4.5977011494,15.9292035398
en_12_ted,spoken,10.2564102564,7.5,0.8849557522
en_13_ted,spoken,16.9811320755,10.3658536585,2.6548672566
en_14_ted,spoken,15.4255319149,11.3402061856,1.7699115044
en_15_ted,spoken,10.1910828025,7.4468085106,7.0796460177
en_16_ted,spoken,2.7027027027,2.6548672566,3.5398230088
en_17_ted,spoken,2.6785714286,2.6548672566,1.7699115044
en_18_ted,spoken,17.3913043478,6.7484662577,5.3097345133
en_19_ted,spoken,9.0909090909,5.5172413793,2.6548672566
en_2_ted,spoken,3.9325842697,6.7415730337,13.2743362832
en_20_ted,spoken,12.5748502994,8.5889570552,13.2743362832
en_21_ted,spoken,6.4676616915,2.7649769585,3.5398230088
en_22_ted,spoken,8.3969465649,5.2631578947,4.4247787611
en_23_ted,spoken,1.7964071856,3.0487804878,9.7345132743
en_24_ted,spoken,6.6666666667,4.7337278107,9.7345132743
en_25_ted,spoken,3.6144578313,5.0279329609,5.3097345133
en_26_ted,spoken,0.8403361345,2.34375,9.7345132743
en_27_ted,spoken,0.6896551724,0,10.6194690265
en_28_ted,spoken,4.4943820225,2.3255813953,0
en_29_ted,spoken,4.2016806723,7.3770491803,5.3097345133
en_3_ted,spoken,1.8348623853,1.7391304348,4.4247787611
en_30_ted,spoken,8.6206896552,6.0344827586,15.9292035398
en_31_ted,spoken,7.0921985816,2.7972027972,7.9646017699
en_32_ted,spoken,3.7634408602,4.1884816754,6.1946902655
en_33_ted,spoken,4.0268456376,4.6357615894,7.9646017699
en_34_ted,spoken,3.6842105263,3.7234042553,11.5044247788
en_35_ted,spoken,3.7037037037,3.488372093,10.6194690265
en_36_ted,spoken,5.7142857143,2.6315789474,18.5840707965
en_37_ted,spoken,5.7324840764,4.3209876543,10.6194690265
en_38_ted,spoken,9.8290598291,6.6115702479,7.9646017699
en_39_ted,spoken,4.2016806723,3.7593984962,4.4247787611
en_4_ted,spoken,8.9552238806,6.3559322034,3.5398230088
en_40_ted,spoken,2.6315789474,1.3157894737,4.4247787611
en_41_ted,spoken,15.6756756757,5.9782608696,1.7699115044
en_42_ted,spoken,7.8014184397,4.9645390071,10.6194690265
en_43_ted,spoken,5.078125,3.515625,5.3097345133
en_44_ted,spoken,3.0769230769,0.3875968992,16.814159292
